Start Time,End Time,Activity ID,Activity Name,Description,Location Name,Time Zone,Offset,Duration (h:m:s),Elapsed Duration (h:m:s),Moving Duration (h:m:s),Activity Parent,Activity Type,Event Type,Device,Gear,Privacy,File Format,Distance (km),Average Speed (km/h),Average Speed (km/h or min/km),Average Moving Speed (km/h),Average Moving Speed (km/h or min/km),Max. Speed (km/h),Max. Speed (km/h or min/km),Elevation Gain (m),Elevation Loss (m),Elevation Min. (m),Elevation Max. (m),Elevation Corrected,Begin Latitude (°DD),Begin Longitude (°DD),End Latitude (°DD),End Longitude (°DD),Max. Heart Rate (bpm),Average Heart Rate (bpm),Calories,VO2max,Aerobic Training Effect,Anaerobic Training Effect,Avg. Run Cadence,Max. Run Cadence,Stride Length,Steps,Avg. Cadence (rpm),Max. Cadence (rpm),Strokes,Avg. Temp (°C),Min. Temp (°C),Max. Temp (°C)
2021-10-10T10:20:54+19:00,2021-10-10T11:31:03+19:00,7635998989,"209. ESS GDL Vía-Minerva, c'est fini",,Guadalajara,America/Chicago,+19:00,01:00:48,01:10:09,01:00:31,Any Activity Type,Running,Uncategorized,Forerunner 645 Music 7.0.0.0,Pegs 38,public,fit,13.00897,12.84119968,04:40,12.89758487,04:39,14.51160049,04:08,71,43,1549.2,1603.4,FALSE,20.66014,-103.277711,20.662652,-103.286786,190,176,899,57,4.4,0.6,175.3,184,120.19,10512,,,,26.51274869,24,29
2021-10-10T08:21:44+19:00,2021-10-10T09:32:55+19:00,7635144227,208. ESS GDL Tetlán,,Guadalajara,America/Chicago,+19:00,00:57:04,01:11:11,00:56:21,Any Activity Type,Running,Uncategorized,Forerunner 645 Music 7.0.0.0,Pegs 38,public,fit,10.7998,11.3579999,05:17,11.49934318,05:13,16.55999966,03:37,37,37,1549.8,1572.6,FALSE,20.660437,-103.281401,20.662284,-103.278386,173,153,645,57,2.6,,165.09,179,111.7,9290,,,,23.32766201,22,26
2021-10-09T07:48:31+19:00,2021-10-09T10:05:26+19:00,7629337084,207. ESS GDL Centro,,Guadalajara,America/Chicago,+19:00,01:48:03,02:16:55,01:46:09,Any Activity Type,Running,Uncategorized,Forerunner 645 Music 7.0.0.0,,public,fit,17.4598,9.694800282,06:11,9.868940621,06:05,12.56400003,04:47,31,33,1538.6,1558.2,FALSE,20.676511,-103.354511,20.675776,-103.348005,157,135,916,57,2.4,,160.89,233,95.57,17150,,,,24.48646854,21,28
2021-10-07T07:45:00+19:00,2021-10-07T10:07:32+19:00,7618293320,206. ESS GDL Insurgentes,,Guadalajara,America/Chicago,+19:00,01:58:54,02:22:32,01:58:15,Any Activity Type,Running,Uncategorized,Forerunner 645 Music 7.0.0.0,Pegs 38,public,fit,24.19195,12.20760012,04:55,12.27557654,04:53,15.55200062,03:51,134,96,1541,1577.8,FALSE,20.652725,-103.27775,20.647002,-103.279801,197,164,1489,57,4,2,168.53,233,118.05,19738,,,,22.52695407,19,28
2021-10-05T07:53:19+19:00,2021-10-05T09:53:39+19:00,7607149206,"205. ESS GDL Jardines de San Francisco, Lagos de Oriente",,Guadalajara,America/Chicago,+19:00,01:39:16,02:00:20,01:38:25,Any Activity Type,Running,Uncategorized,Forerunner 645 Music 7.0.0.0,,public,fit,19.8975,12.02760029,04:59,12.1308364,04:57,15.35039978,03:55,38,36,1535.2,1561.2,FALSE,20.66381,-103.285283,20.663973,-103.27705,170,152,1034,58,2.7,0.1,172.08,192,112.95,16864,,,,19.86510653,18,25
2021-10-03T07:03:19+19:00,2021-10-03T12:11:28+19:00,7597590038,204. ESS GDL Chingos,,Guadalajara,America/Chicago,+19:00,03:37:25,05:08:09,03:35:39,Any Activity Type,Running,Uncategorized,Forerunner 645 Music 7.0.0.0,Pegs 38,public,fit,44.11182,12.17519989,04:56,12.27334407,04:53,15.8543993,03:47,238,232,1548.4,1591.8,FALSE,20.6708,-103.275536,20.667119,-103.274564,199,163,2667,58,3.9,2.5,171.34,208,115.66,36784,,,,23.55928632,19,30
2021-10-02T07:25:31+19:00,2021-10-02T09:06:28+19:00,7590534078,203. ESS GDL Zona Centro II,,Guadalajara,America/Chicago,+19:00,01:19:20,01:40:57,01:18:23,Any Activity Type,Running,Uncategorized,Forerunner 645 Music 7.0.0.0,,public,fit,13.18166,9.968400192,06:01,10.08984985,05:57,12.32640009,04:52,64,55,1547,1566,FALSE,20.677435,-103.346692,20.668809,-103.346466,153,128,655,,2.1,,161.81,190,95.03,12666,,,,22.56954846,20,26
2021-10-01T07:56:14+19:00,2021-10-01T10:02:36+19:00,7585224239,"202. ESS GDL Hermosa Provincia, San Joaquín",,Guadalajara,America/Chicago,+19:00,01:25:49,02:06:22,01:24:46,Any Activity Type,Running,Uncategorized,Forerunner 645 Music 7.0.0.0,,public,fit,17.4871,12.22920027,04:54,12.37812241,04:51,15.62040081,03:50,50,38,1567.2,1577.4,FALSE,20.665172,-103.286689,20.669637,-103.28105,181,152,942,58,2.7,,169.44,182,116.51,14336,,,,21.94070517,19,27
2021-09-29T07:39:38+19:00,2021-09-29T09:43:49+19:00,7574574166,"201. ESS GDL El Zalate, Lomas del Gallo, La Campesina",,Guadalajara,America/Chicago,+19:00,01:36:12,02:04:11,01:30:40,Any Activity Type,Running,Uncategorized,Forerunner 645 Music 7.0.0.0,Pegs 38,public,fit,17.46405,10.89360008,05:30,11.55757682,05:11,16.02360077,03:45,197,185,1528.2,1583.4,FALSE,20.678585,-103.274265,20.674691,-103.269247,186,150,1006,57,2.7,0.6,158.27,211,111.04,14974,,,,23.18568354,21,28
2021-09-28T07:53:47+19:00,2021-09-28T09:28:01+19:00,7568731773,"200. ESS GDL Aldama, Tetlán, Insurgentes",,Guadalajara,America/Chicago,+19:00,01:25:38,01:34:14,01:23:56,Any Activity Type,Running,Uncategorized,Forerunner 645 Music 7.0.0.0,,public,fit,17.46614,12.24000034,04:54,12.48517619,04:48,15.82199993,03:48,29,40,1571.6,1586.6,FALSE,20.659894,-103.277721,20.650993,-103.278993,184,161,1068,58,3.2,0.3,169.98,186,117.44,14366,,,,22.95845707,22,28
